Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SauceDemo - Login,Chrome 100.0.4896.60,,,2022-04-02 09:07:53,2022-04-02 09:08:18,24.602s,PASSED
,,,,,,,
Test Cases/Login/PositiveLogin,Chrome 100.0.4896.60,,,2022-04-02 09:07:54,2022-04-02 09:08:18,24.160s,PASSED
"openBrowser("""")",Chrome 100.0.4896.60,,,2022-04-02 09:07:54,2022-04-02 09:08:04,10.217s,PASSED
maximizeWindow(),Chrome 100.0.4896.60,,,2022-04-02 09:08:04,2022-04-02 09:08:04,0.198s,PASSED
navigateToUrl(url),Chrome 100.0.4896.60,,,2022-04-02 09:08:04,2022-04-02 09:08:08,3.297s,PASSED
delay(2),Chrome 100.0.4896.60,,,2022-04-02 09:08:08,2022-04-02 09:08:10,2.044s,PASSED
"setText(findTestObject(""Login/SetUsername""), username)",Chrome 100.0.4896.60,,,2022-04-02 09:08:10,2022-04-02 09:08:11,1.246s,PASSED
"setText(findTestObject(""Login/SetPassword""), password)",Chrome 100.0.4896.60,,,2022-04-02 09:08:11,2022-04-02 09:08:12,1.058s,PASSED
delay(2),Chrome 100.0.4896.60,,,2022-04-02 09:08:12,2022-04-02 09:08:14,2.014s,PASSED
"click(findTestObject(""Login/BtnLogin""))",Chrome 100.0.4896.60,,,2022-04-02 09:08:14,2022-04-02 09:08:15,0.857s,PASSED
delay(2),Chrome 100.0.4896.60,,,2022-04-02 09:08:15,2022-04-02 09:08:17,2.015s,PASSED
"verifyElementText(findTestObject(""Login/Dashboard""), ""Sauce Labs Backpack"")",Chrome 100.0.4896.60,,,2022-04-02 09:08:17,2022-04-02 09:08:18,0.641s,PASSED
closeBrowser(),Chrome 100.0.4896.60,,,2022-04-02 09:08:18,2022-04-02 09:08:18,0.097s,PASSED
